cluster_id,size,n_sources,n_labels
0,51,1,1
1,33,1,3
2,27,1,3
3,26,1,2
4,25,1,1
6,24,1,2
5,24,1,2
7,22,1,3
8,22,1,2
9,21,1,1
10,19,1,3
11,19,1,1
16,18,1,2
12,18,1,1
13,18,1,2
14,18,1,1
15,18,1,1
20,17,1,2
17,17,1,1
18,17,1,1
19,17,1,1
21,17,1,1
23,16,1,1
22,16,1,1
24,15,1,1
27,14,1,1
25,14,1,1
26,14,1,1
28,14,1,1
30,14,1,1
29,14,1,1
35,13,1,1
36,13,1,1
37,13,1,1
32,13,1,1
33,13,1,2
34,13,1,1
31,13,1,2
38,12,1,1
40,11,1,1
39,11,1,1
41,11,1,1
44,10,1,2
45,10,1,1
46,10,1,1
47,10,1,1
42,10,1,1
43,10,1,1
55,9,1,1
54,9,1,1
53,9,1,1
52,9,1,2
51,9,1,1
50,9,1,1
49,9,1,1
48,9,1,1
63,9,1,1
62,9,1,1
61,9,1,1
60,9,1,1
59,9,1,1
58,9,1,1
57,9,1,1
56,9,1,2
75,8,1,1
74,8,1,1
73,8,1,1
72,8,1,1
77,8,1,1
76,8,1,1
78,8,1,1
67,8,1,2
66,8,1,2
65,8,1,2
64,8,1,1
79,8,1,1
71,8,1,1
68,8,1,1
69,8,1,1
70,8,1,1
80,8,1,1
81,8,1,1
82,8,1,1
83,7,1,1
87,7,1,2
97,7,1,1
96,7,1,1
95,7,1,1
98,7,1,1
84,7,1,1
85,7,1,1
86,7,1,1
90,7,1,1
89,7,1,2
100,7,1,1
91,7,1,1
99,7,1,1
92,7,1,1
93,7,1,1
88,7,1,1
102,7,1,1
101,7,1,1
94,7,1,1
112,6,1,1
122,6,1,1
121,6,1,1
120,6,1,1
123,6,1,1
114,6,1,1
113,6,1,1
111,6,1,1
110,6,1,1
107,6,1,1
108,6,1,1
109,6,1,1
106,6,1,1
118,6,1,1
117,6,1,1
116,6,1,1
119,6,1,1
115,6,1,1
104,6,1,1
105,6,1,1
103,6,1,1
134,5,1,1
135,5,1,1
127,5,1,1
155,5,1,1
154,5,1,1
153,5,1,1
152,5,1,1
151,5,1,1
150,5,1,1
149,5,1,1
133,5,1,2
147,5,1,1
146,5,1,1
145,5,1,2
144,5,1,1
160,5,1,1
161,5,1,1
162,5,1,1
163,5,1,1
164,5,1,1
165,5,1,1
166,5,1,1
148,5,1,1
137,5,1,1
136,5,1,2
156,5,1,1
157,5,1,1
158,5,1,1
159,5,1,1
124,5,1,1
125,5,1,1
126,5,1,1
139,5,1,1
140,5,1,1
141,5,1,1
142,5,1,2
143,5,1,1
131,5,1,1
138,5,1,1
130,5,1,2
132,5,1,1
129,5,1,1
128,5,1,1
196,4,1,1
197,4,1,1
195,4,1,1
194,4,1,1
200,4,1,2
192,4,1,1
207,4,1,1
201,4,1,1
202,4,1,1
203,4,1,1
204,4,1,2
205,4,1,1
206,4,1,1
193,4,1,1
214,4,1,1
240,4,1,1
239,4,1,1
198,4,1,1
199,4,1,1
224,4,1,1
225,4,1,1
226,4,1,1
227,4,1,1
228,4,1,1
229,4,1,1
230,4,1,1
237,4,1,1
238,4,1,1
215,4,1,1
183,4,1,1
182,4,1,1
181,4,1,1
180,4,1,1
179,4,1,1
178,4,1,1
177,4,1,1
176,4,1,1
191,4,1,1
190,4,1,1
217,4,1,1
188,4,1,1
187,4,1,1
186,4,1,1
185,4,1,1
184,4,1,1
236,4,1,1
235,4,1,1
234,4,1,1
233,4,1,1
232,4,1,1
189,4,1,2
213,4,1,1
212,4,1,1
211,4,1,1
210,4,1,1
209,4,1,1
208,4,1,1
223,4,1,1
222,4,1,1
221,4,1,1
220,4,1,1
168,4,1,1
218,4,1,1
231,4,1,1
216,4,1,1
167,4,1,1
175,4,1,1
174,4,1,2
173,4,1,1
172,4,1,1
171,4,1,1
170,4,1,1
169,4,1,1
219,4,1,1
353,3,1,1
354,3,1,1
348,3,1,1
349,3,1,1
350,3,1,1
351,3,1,1
352,3,1,1
273,3,1,1
274,3,1,1
275,3,1,1
260,3,1,1
261,3,1,1
262,3,1,1
263,3,1,1
264,3,1,2
281,3,1,1
282,3,1,1
283,3,1,1
268,3,1,1
269,3,1,1
270,3,1,1
271,3,1,1
272,3,1,1
276,3,1,1
277,3,1,1
278,3,1,1
279,3,1,2
280,3,1,2
321,3,1,1
322,3,1,1
323,3,1,1
329,3,1,1
330,3,1,1
331,3,1,1
316,3,1,1
317,3,1,1
318,3,1,1
319,3,1,1
320,3,1,1
305,3,1,2
306,3,1,1
307,3,1,1
292,3,1,1
293,3,1,1
294,3,1,1
295,3,1,1
296,3,1,1
313,3,1,1
314,3,1,1
315,3,1,1
300,3,1,1
301,3,1,1
302,3,1,1
303,3,1,1
304,3,1,1
257,3,1,1
258,3,1,1
259,3,1,1
308,3,1,2
309,3,1,1
310,3,1,1
311,3,1,1
312,3,1,1
265,3,1,1
266,3,1,1
267,3,1,2
252,3,1,1
253,3,1,1
254,3,1,1
255,3,1,1
256,3,1,1
337,3,1,1
338,3,1,1
339,3,1,1
324,3,1,1
325,3,1,1
326,3,1,1
327,3,1,1
328,3,1,1
345,3,1,1
346,3,1,1
347,3,1,1
332,3,1,1
333,3,1,1
334,3,1,1
335,3,1,1
336,3,1,1
289,3,1,1
290,3,1,1
291,3,1,1
340,3,1,1
341,3,1,1
342,3,1,1
343,3,1,1
344,3,1,1
297,3,1,1
298,3,1,1
299,3,1,1
284,3,1,1
285,3,1,1
286,3,1,1
287,3,1,1
288,3,1,1
241,3,1,1
242,3,1,1
243,3,1,1
249,3,1,1
250,3,1,1
244,3,1,1
245,3,1,1
246,3,1,1
247,3,1,1
248,3,1,1
251,3,1,1
553,2,1,1
580,2,1,1
581,2,1,1
582,2,1,1
583,2,1,1
584,2,1,1
568,2,1,1
569,2,1,1
570,2,1,1
547,2,1,1
532,2,1,1
533,2,1,1
534,2,1,1
535,2,1,1
536,2,1,1
537,2,1,1
538,2,1,1
552,2,1,1
524,2,1,1
525,2,1,1
526,2,1,1
527,2,1,1
528,2,1,1
529,2,1,1
530,2,1,1
531,2,1,1
516,2,1,1
517,2,1,1
518,2,1,1
519,2,1,1
520,2,1,1
585,2,1,1
586,2,1,1
587,2,1,1
540,2,1,1
541,2,1,1
542,2,1,1
543,2,1,1
576,2,1,1
577,2,1,1
578,2,1,1
551,2,1,1
550,2,1,1
571,2,1,1
572,2,1,1
573,2,1,1
574,2,1,1
575,2,1,1
563,2,1,1
564,2,1,1
565,2,1,1
566,2,1,1
567,2,1,1
372,2,1,1
373,2,1,1
374,2,1,1
375,2,1,1
376,2,1,1
377,2,1,1
378,2,1,1
379,2,1,1
364,2,1,1
365,2,1,1
366,2,1,1
367,2,1,1
368,2,1,1
369,2,1,1
370,2,1,1
371,2,1,1
356,2,1,1
357,2,1,1
358,2,1,1
359,2,1,1
360,2,1,1
521,2,1,1
522,2,1,1
523,2,1,1
508,2,1,1
509,2,1,2
510,2,1,1
511,2,1,1
512,2,1,1
513,2,1,1
514,2,1,1
549,2,1,1
361,2,1,1
362,2,1,1
363,2,1,1
355,2,1,1
404,2,1,1
405,2,1,1
406,2,1,1
407,2,1,1
408,2,1,1
409,2,1,1
410,2,1,1
411,2,1,1
396,2,1,1
397,2,1,1
398,2,1,1
399,2,1,1
400,2,1,1
401,2,1,1
402,2,1,1
403,2,1,1
388,2,1,1
389,2,1,1
390,2,1,1
391,2,1,1
392,2,1,1
393,2,1,1
394,2,1,1
395,2,1,2
380,2,1,1
381,2,1,1
382,2,1,1
383,2,1,2
384,2,1,1
385,2,1,1
386,2,1,1
387,2,1,1
436,2,1,1
437,2,1,1
438,2,1,1
439,2,1,1
440,2,1,1
441,2,1,1
442,2,1,1
443,2,1,1
428,2,1,1
429,2,1,1
430,2,1,1
431,2,1,1
432,2,1,1
433,2,1,1
434,2,1,1
435,2,1,1
420,2,1,1
421,2,1,1
422,2,1,1
423,2,1,2
424,2,1,1
425,2,1,1
426,2,1,1
427,2,1,1
412,2,1,1
413,2,1,1
414,2,1,1
415,2,1,1
416,2,1,2
417,2,1,1
418,2,1,1
419,2,1,1
468,2,1,1
469,2,1,1
470,2,1,1
471,2,1,1
472,2,1,1
473,2,1,1
474,2,1,1
475,2,1,1
460,2,1,1
461,2,1,1
462,2,1,1
463,2,1,1
464,2,1,1
465,2,1,2
466,2,1,1
467,2,1,1
452,2,1,1
453,2,1,1
454,2,1,1
455,2,1,1
456,2,1,1
457,2,1,1
458,2,1,1
459,2,1,1
444,2,1,1
445,2,1,1
446,2,1,1
447,2,1,1
448,2,1,1
449,2,1,1
450,2,1,1
451,2,1,1
500,2,1,1
501,2,1,1
502,2,1,1
503,2,1,1
504,2,1,1
505,2,1,1
506,2,1,1
507,2,1,1
492,2,1,1
493,2,1,1
494,2,1,1
495,2,1,1
496,2,1,1
497,2,1,1
498,2,1,1
499,2,1,1
484,2,1,1
485,2,1,1
486,2,1,1
487,2,1,1
488,2,1,1
489,2,1,1
490,2,1,1
491,2,1,1
476,2,1,1
477,2,1,1
478,2,1,1
479,2,1,1
480,2,1,1
481,2,1,1
482,2,1,1
483,2,1,1
596,2,1,1
597,2,1,1
598,2,1,1
599,2,1,1
600,2,1,1
601,2,1,1
602,2,1,1
548,2,1,1
588,2,1,1
589,2,1,1
590,2,1,1
591,2,1,1
592,2,1,1
593,2,1,1
594,2,1,1
595,2,1,1
555,2,1,1
556,2,1,1
557,2,1,1
558,2,1,1
559,2,1,1
560,2,1,1
561,2,1,1
554,2,1,1
515,2,1,1
579,2,1,1
539,2,1,1
562,2,1,1
603,2,1,1
544,2,1,1
545,2,1,1
546,2,1,1
